postcode,eastings,northings,latitude,longitude
LE13,475200,319300,52.76572,-0.88536
LE14,474500,321300,52.7838,-0.89527
LE15,487900,307300,52.65594,-0.70037
LE16,475200,288200,52.48616,-0.89244
LE17,455900,285800,52.4669,-1.17706
LE18,460200,298800,52.58332,-1.11141
LE19,453600,298000,52.57718,-1.21047
LE2,459900,301700,52.60942,-1.11531
LE3,455500,303800,52.62876,-1.17993
LE4,459300,307700,52.66342,-1.12309
LE5,461900,304700,52.63616,-1.08521
LE6,451300,307500,52.66244,-1.24141
LE65,435900,316900,52.74819,-1.4681
LE67,443200,313400,52.71619,-1.36041
LE7,463000,309300,52.67739,-1.06808
LE8,461200,295400,52.55264,-1.09728
LE9,448300,297200,52.57012,-1.28728
LN1,494300,374500,53.25883,-0.58621
LN10,519200,363900,53.15858,-0.21703
LN11,534700,388200,53.3732,0.02496
LN12,550900,383800,53.3293,0.2662
LN13,545700,376500,53.26518,0.18482
LN2,499500,374100,53.25429,-0.5084
LN3,505500,373000,53.24325,-0.41885
LN4,508000,362700,53.15018,-0.38489
LN5,496500,364800,53.17126,-0.55617
LN6,493900,368300,53.20319,-0.59403
LN7,509900,400800,53.49216,-0.34327
LN8,511500,387600,53.37321,-0.32384
LN9,526100,370600,53.21719,-0.11124
LS1,429800,433500,53.79674,-1.54754
LS10,430900,429600,53.76162,-1.53123
LS11,429300,431200,53.77609,-1.55535
LS12,426600,432800,53.79062,-1.59618
LS13,424100,435000,53.81052,-1.63396
LS14,435800,437000,53.82782,-1.45604
LS15,436600,434600,53.80619,-1.44417
LS16,426200,439500,53.85086,-1.60169
LS17,431100,440500,53.85958,-1.52709
LS18,423600,438300,53.8402,-1.6413
LS19,420900,440400,53.8592,-1.6822
LS2,429900,434000,53.80123,-1.54597
LS20,418900,442000,53.87365,-1.71251
LS21,421100,446200,53.91132,-1.67876
LS22,439800,448600,53.93179,-1.39375
LS23,442400,445500,53.90372,-1.35458
LS24,449200,441800,53.86987,-1.25168
LS25,444100,432400,53.78584,-1.33059
LS26,436400,428600,53.75227,-1.44791
LS27,426200,428100,53.74839,-1.60266
LS28,421800,434000,53.80163,-1.66897
LS29,412900,447200,53.92058,-1.80356
LS3,429000,434000,53.80128,-1.55964
LS4,427600,434900,53.80944,-1.58082
LS5,426200,435900,53.81851,-1.60199
LS6,428500,436000,53.81928,-1.56704
LS7,430300,435900,53.81828,-1.53971
LS8,432300,436600,53.82445,-1.50926
LS9,432400,433800,53.79928,-1.50803
LU1,508500,220800,51.87476,-0.42373
LU2,510400,222700,51.89147,-0.39553
LU3,507100,224500,51.90829,-0.44291
LU4,505500,223400,51.89871,-0.4665
LU5,502300,224400,51.90829,-0.5127
LU6,500800,220900,51.87711,-0.53552
LU7,491900,224300,51.90921,-0.66388
M1,384400,397900,53.47734,-2.23508
M11,388100,398000,53.47834,-2.17933
M12,386600,396500,53.46482,-2.20187
M13,385800,396000,53.4603,-2.21389
M14,385100,394600,53.4477,-2.22437
M15,383400,396600,53.46563,-2.25008
M16,382500,395400,53.45481,-2.26357
M17,378900,397000,53.46906,-2.31789
M18,388800,396100,53.46127,-2.16871
M19,387100,393400,53.43696,-2.19421
M2,383900,398200,53.48003,-2.24263
M20,384700,392100,53.42521,-2.23027
M21,382000,393500,53.43771,-2.27099
M22,382800,387700,53.3856,-2.25863
M23,380900,389200,53.39902,-2.28729
M24,387000,406100,53.55113,-2.19624
M25,381800,403600,53.5285,-2.27459
M26,377900,407300,53.56161,-2.33369
M27,377700,401800,53.51216,-2.33631
M28,373700,402100,53.51467,-2.39666
M29,369700,401400,53.50816,-2.45692
M3,383400,398600,53.48361,-2.25018
M30,376500,398700,53.48424,-2.35418
M31,372000,391500,53.4193,-2.42136
M32,379500,394900,53.45021,-2.30872
M33,378400,391600,53.4205,-2.32506
M34,392200,395500,53.45594,-2.11748
M35,389900,401200,53.50714,-2.1523
M38,372100,404000,53.53167,-2.42096
M4,384800,398700,53.48455,-2.22909
M40,387400,400800,53.50349,-2.18999
M41,375900,395000,53.45095,-2.36294
M43,390200,398600,53.48378,-2.1477
M44,371700,393900,53.44086,-2.42609
M45,380900,405700,53.54734,-2.28829
M46,367500,403400,53.52601,-2.49031
M5,381100,398100,53.47903,-2.28482
M6,380300,399500,53.49159,-2.29696
M60,384900,398900,53.48635,-2.22759
